ID,Age,Gender,Race,Group,SelfMorality,SelfAbility,SelfSociability,SelfSolvingPuzzlesPred,SelfTeamCollabPred,Teammate,Morality,Ability,Sociability,FirstMeet,Interact,Like,Closeness,Similar,GoodNews,BadNews,LikeMeta,ClosenessMeta,SimilarMeta,SolvingPuzzlesPred,TeamCollabPred,Longest,Frequently,Leader,Influence
23A,25,1,5,23,8.75,4.75,8.25,3,8,23E,7.75,7.75,6.5,4,3,8,6,5,4,2,8,4,6,8,7,23B,23C,23C,23C
23A,25,1,5,23,8.75,4.75,8.25,3,8,23B,9.5,6.5,9.0,6,1,10,10,9,9,8,10,9,9,7,8,23B,23C,23C,23C
23A,25,1,5,23,8.75,4.75,8.25,3,8,23C,8.25,8.5,8.25,6,1,10,9,8,9,6,9,9,7,9,9,23B,23C,23C,23C
23B,25,1,5,23,8.75,7.5,8.0,8,8,23A,7.25,7.5,8.75,6,1,10,10,9,9,6,10,10,9,6,10,23C,23A,23A,23A
23B,25,1,5,23,8.75,7.5,8.0,8,8,23C,6.5,9.25,6.5,6,1,9,8,7,7,5,9,7,8,8,6,23C,23A,23A,23A
23B,25,1,5,23,8.75,7.5,8.0,8,8,23D,7.5,7.0,8.0,6,3,8,6,5,3,3,7,5,4,7,7,23C,23A,23A,23A
23B,25,1,5,23,8.75,7.5,8.0,8,8,23E,5.25,5.5,6.5,2,5,6,3,3,0,0,5,3,3,7,8,23C,23A,23A,23A
23D,25,1,5,23,9.5,5.75,5.75,8,7,23C,9.25,10.0,9.0,6,3,10,8,9,6,0,8,7,9,7,6,23A,23A,23C,23C
23D,25,1,5,23,9.5,5.75,5.75,8,7,23A,7.25,5.0,6.75,6,1,8,10,8,10,0,9,9,9,7,6,23A,23A,23C,23C
23D,25,1,5,23,9.5,5.75,5.75,8,7,23B,9.5,8.0,10.0,6,3,7,5,6,5,0,7,5,6,9,10,23A,23A,23C,23C
23D,25,1,5,23,9.5,5.75,5.75,8,7,23E,5.0,5.0,5.0,4,6,5,5,5,5,5,5,5,5,5,5,23A,23A,23C,23C
21C,22,2,5,21,8.75,7.75,8.0,6,8,21A,9.25,8.75,9.0,5,1,9,8,7,10,10,9,7,6,7,9,21A,21A,21A,21A
21C,22,2,5,21,8.75,7.75,8.0,6,8,21B,8.5,8.75,8.0,4,1,8,5,6,6,6,6,6,6,7,6,21A,21A,21A,21A
21C,22,2,5,21,8.75,7.75,8.0,6,8,21D,5.0,5.0,5.0,2,6,5,5,5,5,5,5,5,5,5,5,21A,21A,21A,21A
21C,22,2,5,21,8.75,7.75,8.0,6,8,21E,5.0,5.0,5.0,2,6,5,5,5,5,5,5,5,5,5,5,21A,21A,21A,21A
17C,21,2,4,17,10.0,8.25,10.0,8,8,17A,9.75,8.75,9.0,6,3,10,8,8,8,4,10,9,9,8,8,17A,17A,17B,17B
17C,21,2,4,17,10.0,8.25,10.0,8,8,17B,9.75,10.0,8.25,6,3,10,8,6,6,5,7,7,5,10,8,17A,17A,17B,17B
17C,21,2,4,17,10.0,8.25,10.0,8,8,17D,9.25,8.25,9.25,6,3,10,8,6,7,0,8,7,5,9,10,17A,17A,17B,17B
17C,21,2,4,17,10.0,8.25,10.0,8,8,17E,8.25,7.75,7.0,6,3,10,6,3,3,0,5,5,2,8,6,17A,17A,17B,17B
17A,21,1,6,17,9.0,8.75,9.25,4,10,17B,9.75,9.25,8.25,6,3,8,7,8,5,0,7,4,8,9,10,17D,17D,17B,17A
17A,21,1,6,17,9.0,8.75,9.25,4,10,17D,10.0,8.5,9.75,6,2,10,10,3,9,4,10,9,10,9,10,17D,17D,17B,17A
17A,21,1,6,17,9.0,8.75,9.25,4,10,17C,8.75,7.75,8.0,6,4,8,7,4,4,1,7,6,7,8,9,17D,17D,17B,17A
17A,21,1,6,17,9.0,8.75,9.25,4,10,17E,6.0,9.25,4.0,6,5,5,2,0,0,0,6,2,8,10,4,17D,17D,17B,17A
