ID,Age,Gender,Race,Group,SelfMorality,SelfAbility,SelfSociability,SelfSolvingPuzzlesPred,SelfTeamCollabPred,Teammate,Morality,Ability,Sociability,FirstMeet,Interact,Like,Closeness,Similar,GoodNews,BadNews,LikeMeta,ClosenessMeta,SimilarMeta,SolvingPuzzlesPred,TeamCollabPred,Longest,Frequently,Leader,Influence
31D,18,2,2,31,10.0,8.0,7.25,5,7,31A,9.25,6.5,10.0,2,3,10,8,8,10,10,10,7,8,5,5,31A,31A,31C,31A
31D,18,2,2,31,10.0,8.0,7.25,5,7,31E,5.0,5.0,5.0,2,5,5,5,5,5,5,5,5,5,5,5,31A,31A,31C,31A
31D,18,2,2,31,10.0,8.0,7.25,5,7,31B,8.0,6.25,8.25,2,2,10,8,7,10,10,9,7,7,5,5,31A,31A,31C,31A
31D,18,2,2,31,10.0,8.0,7.25,5,7,31C,7.0,5.0,5.0,2,3,8,5,5,5,5,5,5,5,5,5,31A,31A,31C,31A
28B,25,2,5,28,9.25,6.25,7.75,6,6,28A,9.0,8.25,7.75,6,3,10,10,8,6,9,10,9,7,8,7,28E,28C,28A,28D
28B,25,2,5,28,9.25,6.25,7.75,6,6,28C,8.5,5.5,9.25,6,3,10,10,5,7,10,10,10,4,5,7,28E,28C,28A,28D
28B,25,2,5,28,9.25,6.25,7.75,6,6,28E,8.75,7.75,8.75,6,3,10,10,5,6,8,10,10,7,9,7,28E,28C,28A,28D
28B,25,2,5,28,9.25,6.25,7.75,6,6,28D,9.75,9.25,7.0,6,3,10,10,6,8,8,10,10,5,8,8,28E,28C,28A,28D
28A,25,2,5,28,8.25,6.25,7.25,4,7,28B,8.0,7.25,7.5,6,3,10,8,2,9,9,8,7,2,8,9,28E,28E,28A,28E
28A,25,2,5,28,8.25,6.25,7.25,4,7,28C,9.0,7.5,9.0,6,3,9,6,5,9,9,8,7,2,8,8,28E,28E,28A,28E
28A,25,2,5,28,8.25,6.25,7.25,4,7,28D,8.75,8.25,6.25,6,2,9,7,2,8,8,9,8,2,6,10,28E,28E,28A,28E
28A,25,2,5,28,8.25,6.25,7.25,4,7,28E,6.25,8.0,8.0,6,2,10,9,7,10,10,10,9,7,9,8,28E,28E,28A,28E
28E,25,2,5,28,9.5,10.0,10.0,7,9,28A,9.5,9.75,8.75,6,2,10,10,8,10,10,10,10,8,10,10,28A,28A,28E,28A
28E,25,2,5,28,9.5,10.0,10.0,7,9,28B,8.75,9.5,9.5,6,2,10,10,8,10,10,10,10,8,10,10,28A,28A,28E,28A
28E,25,2,5,28,9.5,10.0,10.0,7,9,28C,10.0,9.0,10.0,6,2,10,10,8,10,10,10,9,9,9,10,28A,28A,28E,28A
28E,25,2,5,28,9.5,10.0,10.0,7,9,28D,9.75,9.25,8.5,6,2,10,10,8,8,7,10,10,8,10,9,28A,28A,28E,28A
29A,20,3,4,29,8.75,6.25,8.75,6,9,29C,9.0,8.5,8.0,6,1,10,10,7,10,10,10,10,7,8,8,29E,29C,29E,29E
29A,20,3,4,29,8.75,6.25,8.75,6,9,29B,8.25,6.75,8.25,5,2,10,7,6,7,4,8,8,4,7,10,29E,29C,29E,29E
29A,20,3,4,29,8.75,6.25,8.75,6,9,29D,9.0,6.25,8.75,5,1,9,10,7,10,10,10,10,7,6,8,29E,29C,29E,29E
29A,20,3,4,29,8.75,6.25,8.75,6,9,29E,10.0,9.25,10.0,6,1,9,7,5,9,10,10,9,5,9,10,29E,29C,29E,29E
29C,23,2,6,29,9.0,6.75,8.0,8,7,29D,7.25,8.0,8.0,5,5,10,5,5,5,5,6,7,7,10,10,29A,29A,29C,29A
29C,23,2,6,29,9.0,6.75,8.0,8,7,29B,9.25,8.75,9.0,6,2,8,8,9,9,9,10,10,10,10,10,29A,29A,29C,29A
29C,23,2,6,29,9.0,6.75,8.0,8,7,29A,10.0,9.5,9.75,6,1,10,10,10,10,10,10,10,10,10,10,29A,29A,29C,29A
29C,23,2,6,29,9.0,6.75,8.0,8,7,29E,10.0,10.0,10.0,6,2,10,10,10,10,10,10,10,10,10,10,29A,29A,29C,29A
31A,19,2,5,31,7.5,6.0,7.0,6,4,31B,5.5,6.0,5.5,2,1,8,6,8,6,3,6,5,8,3,4,31C,31B,31C,31B
31A,19,2,5,31,7.5,6.0,7.0,6,4,31C,8.0,7.75,5.75,4,2,8,8,5,8,6,7,7,4,6,6,31C,31B,31C,31B
31A,19,2,5,31,7.5,6.0,7.0,6,4,31E,4.75,5.0,5.0,2,4,3,0,3,1,0,2,0,2,4,4,31C,31B,31C,31B
31A,19,2,5,31,7.5,6.0,7.0,6,4,31D,5.0,5.75,7.25,2,3,5,3,5,5,5,5,3,5,5,4,31C,31B,31C,31B
28D,24,2,5,28,9.25,8.0,8.25,7,7,28A,8.75,8.25,8.5,5,3,10,8,4,7,7,9,7,5,8,8,28E,28A,28A,28B
28D,24,2,5,28,9.25,8.0,8.25,7,7,28E,7.75,8.0,8.5,5,3,10,6,6,7,7,9,7,8,8,8,28E,28A,28A,28B
28D,24,2,5,28,9.25,8.0,8.25,7,7,28C,9.5,9.75,9.5,5,3,10,7,6,7,7,10,7,6,7,8,28E,28A,28A,28B
28D,24,2,5,28,9.25,8.0,8.25,7,7,28B,9.5,8.0,9.0,5,3,10,8,6,8,8,9,7,4,9,7,28E,28A,28A,28B
31B,18,2,"2,5",31,5.75,8.0,6.0,4,6,31C,6.5,6.0,4.0,2,2,7,7,3,9,9,7,4,1,8,6,31E,31A,31C,31B
31B,18,2,"2,5",31,5.75,8.0,6.0,4,6,31D,6.0,3.75,4.25,2,3,7,3,6,4,4,8,2,6,6,6,31E,31A,31C,31B
31B,18,2,"2,5",31,5.75,8.0,6.0,4,6,31E,6.5,5.0,6.75,2,2,7,6,6,4,6,7,6,6,6,6,31E,31A,31C,31B
31B,18,2,"2,5",31,5.75,8.0,6.0,4,6,31A,6.75,3.5,5.75,2,1,7,6,7,7,8,6,6,6,7,5,31E,31A,31C,31B
34B,23,2,5,34,8.5,9.0,6.5,7,8,34C,8.75,8.5,6.75,4,3,10,8,5,7,7,10,7,5,7,7,34E,34A,34A,34A
34B,23,2,5,34,8.5,9.0,6.5,7,8,34D,9.5,8.5,10.0,4,3,10,9,8,10,8,10,8,7,7,10,34E,34A,34A,34A
34B,23,2,5,34,8.5,9.0,6.5,7,8,34A,9.5,10.0,8.25,3,1,10,10,10,10,10,10,10,10,8,8,34E,34A,34A,34A
34B,23,2,5,34,8.5,9.0,6.5,7,8,34E,9.0,8.25,6.5,4,3,10,8,7,8,8,10,8,7,10,7,34E,34A,34A,34A
34A,22,2,5,34,9.0,7.75,8.25,7,9,34B,9.0,7.5,9.0,4,1,10,10,10,10,10,10,10,10,9,9,34C,34B,34C,34B
34A,22,2,5,34,9.0,7.75,8.25,7,9,34C,7.25,9.0,8.0,5,2,10,7,7,8,3,8,6,6,10,9,34C,34B,34C,34B
34A,22,2,5,34,9.0,7.75,8.25,7,9,34E,8.0,6.75,7.0,4,2,10,7,7,9,4,9,7,7,9,8,34C,34B,34C,34B
34A,22,2,5,34,9.0,7.75,8.25,7,9,34D,9.75,7.75,10.0,4,3,10,6,7,4,4,9,6,6,8,10,34C,34B,34C,34B
34C,23,2,5,34,8.75,6.75,5.5,5,7,34D,10.0,8.5,10.0,5,4,10,7,4,8,6,6,6,3,10,10,34D,34E,34A,34A
34C,23,2,5,34,8.75,6.75,5.5,5,7,34A,10.0,9.75,9.0,5,2,10,9,5,10,7,8,7,5,10,10,34D,34E,34A,34A
34C,23,2,5,34,8.75,6.75,5.5,5,7,34E,9.5,9.0,7.75,5,2,10,10,6,10,8,8,8,7,10,7,34D,34E,34A,34A
34C,23,2,5,34,8.75,6.75,5.5,5,7,34B,10.0,9.75,8.0,5,3,10,9,5,10,7,8,7,4,10,8,34D,34E,34A,34A
34D,23,2,2,34,8.5,7.25,8.0,4,7,34E,6.75,8.0,6.75,4,3,8,6,5,8,5,7,6,5,8,8,34C,34B,34A,34A
34D,23,2,2,34,8.5,7.25,8.0,4,7,34B,7.25,7.0,6.5,4,3,9,8,6,8,8,8,8,6,6,8,34C,34B,34A,34A
34D,23,2,2,34,8.5,7.25,8.0,4,7,34C,6.75,7.25,7.0,4,4,8,5,5,5,4,6,4,4,6,4,34C,34B,34A,34A
34D,23,2,2,34,8.5,7.25,8.0,4,7,34A,8.25,8.0,8.0,4,3,9,7,6,9,7,8,7,7,9,9,34C,34B,34A,34A
29E,21,2,4,29,9.25,6.75,5.75,5,5,29B,9.0,8.25,8.75,5,2,9,6,5,6,5,7,6,6,9,8,29A,29C,29E,29E
29E,21,2,4,29,9.25,6.75,5.75,5,5,29C,8.5,7.25,8.75,5,1,10,9,8,9,8,8,7,8,9,9,29A,29C,29E,29E
29E,21,2,4,29,9.25,6.75,5.75,5,5,29A,9.25,8.25,8.0,6,2,7,6,6,6,7,7,7,7,9,9,29A,29C,29E,29E
29E,21,2,4,29,9.25,6.75,5.75,5,5,29D,7.75,7.25,7.0,5,4,6,6,5,4,4,5,5,5,8,7,29A,29C,29E,29E
28C,25,2,5,28,8.5,7.75,5.75,5,5,28D,10.0,9.5,8.5,6,2,10,7,7,10,5,10,7,8,8,10,28B,28B,28A,28A
28C,25,2,5,28,8.5,7.75,5.75,5,5,28A,10.0,9.25,10.0,6,2,10,8,8,10,10,10,8,8,8,10,28B,28B,28A,28A
28C,25,2,5,28,8.5,7.75,5.75,5,5,28B,10.0,9.5,10.0,6,2,10,9,8,10,10,10,10,8,8,10,28B,28B,28A,28A
28C,25,2,5,28,8.5,7.75,5.75,5,5,28E,10.0,9.0,10.0,6,2,10,8,8,8,8,10,8,8,10,10,28B,28B,28A,28A
29B,21,1,4,29,10.0,9.25,8.0,7,9,29A,10.0,9.25,7.25,5,1,9,8,3,7,7,8,8,8,9,10,29C,29E,29A,29A
29B,21,1,4,29,10.0,9.25,8.0,7,9,29C,9.25,9.75,9.75,5,1,8,9,8,9,9,9,8,9,9,10,29C,29E,29A,29A
29B,21,1,4,29,10.0,9.25,8.0,7,9,29E,9.25,9.25,9.5,5,1,9,9,9,3,10,9,9,9,9,10,29C,29E,29A,29A
29B,21,1,4,29,10.0,9.25,8.0,7,9,29D,9.25,5.75,6.0,5,6,7,8,8,8,8,8,8,9,7,10,29C,29E,29A,29A
29D,22,2,4,29,10.0,7.5,9.25,6,7,29A,10.0,7.5,9.5,6,1,10,10,8,9,9,9,8,6,8,8,29A,29A,29A,29E
29D,22,2,4,29,10.0,7.5,9.25,6,7,29C,9.5,7.5,9.5,5,4,9,6,6,5,5,5,4,5,8,8,29A,29A,29A,29E
29D,22,2,4,29,10.0,7.5,9.25,6,7,29E,8.75,8.5,9.5,5,4,8,5,5,5,5,7,5,5,8,8,29A,29A,29A,29E
29D,22,2,4,29,10.0,7.5,9.25,6,7,29B,9.0,7.75,8.5,5,6,6,5,5,5,5,6,4,4,7,7,29A,29A,29A,29E
35C,26,2,2,35,6.25,6.0,5.0,6,6,35A,6.0,6.0,5.5,6,2,8,7,4,7,6,6,6,4,7,6,35B,35A,35A,35D
35C,26,2,2,35,6.25,6.0,5.0,6,6,35B,6.75,5.5,5.75,6,4,6,3,4,4,3,6,4,4,6,6,35B,35A,35A,35D
35C,26,2,2,35,6.25,6.0,5.0,6,6,35D,6.0,5.0,6.0,6,5,6,2,3,3,3,4,2,3,6,6,35B,35A,35A,35D
35C,26,2,2,35,6.25,6.0,5.0,6,6,35E,5.5,4.25,6.5,6,3,4,3,4,4,4,6,4,4,4,6,35B,35A,35A,35D
36A,29,2,2,36,6.75,6.25,6.25,8,8,36B,7.5,6.25,6.75,3,1,10,10,8,10,10,10,10,7,8,5,36C,36B,36A,36A
36A,29,2,2,36,6.75,6.25,6.25,8,8,36C,5.5,6.0,4.5,5,2,7,8,6,4,8,8,8,6,8,4,36C,36B,36A,36A
36A,29,2,2,36,6.75,6.25,6.25,8,8,36D,9.25,6.0,10.0,3,3,8,8,7,9,8,7,7,7,7,10,36C,36B,36A,36A
36A,29,2,2,36,6.75,6.25,6.25,8,8,36E,7.0,5.5,7.25,4,4,7,7,7,6,6,8,9,8,6,8,36C,36B,36A,36A
36C,32,1,5,36,9.0,7.0,8.25,5,5,36A,8.25,8.5,9.75,5,2,10,9,9,10,9,8,8,7,10,10,36A,36A,36C,36C
36C,32,1,5,36,9.0,7.0,8.25,5,5,36B,5.0,5.0,5.0,1,6,5,5,5,5,5,5,5,5,5,5,36A,36A,36C,36C
36C,32,1,5,36,9.0,7.0,8.25,5,5,36E,5.0,5.0,5.0,1,6,5,5,5,5,5,5,5,5,5,5,36A,36A,36C,36C
36C,32,1,5,36,9.0,7.0,8.25,5,5,36D,5.0,5.0,5.0,1,6,0,0,0,0,0,0,0,0,5,5,36A,36A,36C,36C
35A,26,2,2,35,8.5,6.5,8.5,7,8,35B,8.75,6.5,8.75,6,4,8,6,6,10,10,7,6,6,7,7,35E,35C,35A,35E
35A,26,2,2,35,8.5,6.5,8.5,7,8,35E,9.0,7.5,9.75,6,2,10,10,7,10,10,10,8,8,7,10,35E,35C,35A,35E
35A,26,2,2,35,8.5,6.5,8.5,7,8,35C,10.0,9.25,9.25,6,2,10,10,7,10,10,10,8,8,10,10,35E,35C,35A,35E
35A,26,2,2,35,8.5,6.5,8.5,7,8,35D,9.25,10.0,9.25,6,3,10,7,7,8,6,7,7,7,10,10,35E,35C,35A,35E
35D,26,1,2,35,9.0,8.5,7.25,10,8,35A,8.0,8.25,7.0,6,3,9,8,6,9,5,8,8,6,9,9,35B,35E,35A,35B
35D,26,1,2,35,9.0,8.5,7.25,10,8,35B,9.75,8.25,8.5,6,2,9,9,8,10,8,10,9,8,10,10,35B,35E,35A,35B
35D,26,1,2,35,9.0,8.5,7.25,10,8,35C,9.5,7.5,9.0,6,4,9,6,5,6,2,8,7,4,9,9,35B,35E,35A,35B
35D,26,1,2,35,9.0,8.5,7.25,10,8,35E,10.0,7.75,10.0,6,1,10,10,7,10,10,10,10,8,8,10,35B,35E,35A,35B
35E,26,2,2,35,8.25,5.0,8.5,3,6,35A,7.5,7.0,7.5,6,2,8,7,6,6,7,8,6,6,8,8,35A,35D,35A,35B
35E,26,2,2,35,8.25,5.0,8.5,3,6,35D,6.75,8.75,7.25,6,1,10,10,7,10,10,10,10,6,10,9,35A,35D,35A,35B
35E,26,2,2,35,8.25,5.0,8.5,3,6,35C,7.25,7.5,7.75,6,2,8,4,2,2,4,7,6,2,6,9,35A,35D,35A,35B
35E,26,2,2,35,8.25,5.0,8.5,3,6,35B,8.25,8.0,7.75,6,3,8,5,1,0,0,8,5,0,8,9,35A,35D,35A,35B
35B,26,1,2,35,8.75,7.75,8.25,7,8,35A,8.0,7.0,7.25,6,3,8,8,3,7,5,7,8,3,8,8,35C,35D,35A,35A
35B,26,1,2,35,8.75,7.75,8.25,7,8,35C,8.75,8.5,7.75,6,4,9,10,7,8,6,9,9,7,8,8,35C,35D,35A,35A
35B,26,1,2,35,8.75,7.75,8.25,7,8,35E,9.0,7.25,8.0,6,3,8,9,6,8,6,8,9,7,7,8,35C,35D,35A,35A
35B,26,1,2,35,8.75,7.75,8.25,7,8,35D,8.0,8.5,8.75,6,2,10,10,8,10,7,10,10,7,7,10,35C,35D,35A,35A
36D,32,2,5,36,7.5,8.5,7.75,6,7,36A,7.5,7.25,9.0,3,3,9,9,7,9,7,9,7,7,9,9,36A,36A,36A,36A
36D,32,2,5,36,7.5,8.5,7.75,6,7,36B,5.0,5.0,5.0,1,6,5,5,5,5,5,5,5,5,5,5,36A,36A,36A,36A
36D,32,2,5,36,7.5,8.5,7.75,6,7,36C,5.0,5.0,5.0,1,6,5,5,5,5,5,5,5,5,5,5,36A,36A,36A,36A
36D,32,2,5,36,7.5,8.5,7.75,6,7,36E,5.0,5.0,5.0,1,6,5,5,5,5,5,5,5,5,5,5,36A,36A,36A,36A
36B,30,1,2,36,4.75,6.5,5.25,7,7,36A,7.5,6.0,6.25,3,1,10,9,5,9,8,9,9,6,7,6,36A,36A,36A,36A
36B,30,1,2,36,4.75,6.5,5.25,7,7,36C,5.0,5.0,5.0,1,6,4,0,2,0,0,5,0,0,5,5,36A,36A,36A,36A
36B,30,1,2,36,4.75,6.5,5.25,7,7,36D,5.0,5.0,5.0,1,6,5,0,5,0,0,5,0,5,5,5,36A,36A,36A,36A
36B,30,1,2,36,4.75,6.5,5.25,7,7,36E,5.0,5.0,5.0,1,6,5,0,5,0,0,5,0,5,5,5,36A,36A,36A,36A
37A,21,2,2,37,9.5,6.75,6.0,6,8,37B,9.0,6.75,7.75,6,3,8,7,8,8,4,7,8,8,8,8,37B,37B,37A,37A
37A,21,2,2,37,9.5,6.75,6.0,6,8,37C,7.25,8.0,7.75,2,3,8,6,3,7,4,8,6,7,8,8,37B,37B,37A,37A
37A,21,2,2,37,9.5,6.75,6.0,6,8,37D,7.75,7.0,7.25,4,3,8,6,9,6,6,8,8,8,9,9,37B,37B,37A,37A
37A,21,2,2,37,9.5,6.75,6.0,6,8,37E,7.75,7.25,7.75,2,3,7,5,4,6,6,7,4,4,7,7,37B,37B,37A,37A
37D,21,2,2,37,7.75,7.25,8.25,7,7,37A,8.5,8.0,8.5,5,3,9,7,8,6,6,7,5,7,7,7,37A,37A,37A,37A
37D,21,2,2,37,7.75,7.25,8.25,7,7,37B,5.0,5.0,5.0,1,6,3,0,4,0,0,3,0,0,5,5,37A,37A,37A,37A
37D,21,2,2,37,7.75,7.25,8.25,7,7,37C,7.75,9.0,8.0,2,4,8,6,6,4,4,8,6,7,6,8,37A,37A,37A,37A
37D,21,2,2,37,7.75,7.25,8.25,7,7,37E,6.0,5.5,6.25,3,6,5,0,4,0,0,5,1,4,6,3,37A,37A,37A,37A
37B,20,2,2,37,8.75,6.5,8.25,5,6,37A,8.5,8.0,8.5,6,3,9,9,7,9,8,8,8,7,7,8,37A,37A,37A,37A
37B,20,2,2,37,8.75,6.5,8.25,5,6,37D,7.0,6.0,6.0,1,6,6,1,6,1,1,5,5,5,6,6,37A,37A,37A,37A
37B,20,2,2,37,8.75,6.5,8.25,5,6,37C,6.0,6.0,6.75,1,6,5,1,5,1,1,5,5,5,6,7,37A,37A,37A,37A
37B,20,2,2,37,8.75,6.5,8.25,5,6,37E,6.0,6.0,5.0,1,6,6,1,5,1,1,5,1,5,6,6,37A,37A,37A,37A
37C,19,2,2,37,8.75,6.25,7.5,6,6,37A,8.25,9.0,8.0,2,2,10,8,5,8,6,6,6,5,7,8,37A,37E,37A,37A
37C,19,2,2,37,8.75,6.25,7.5,6,6,37D,8.0,8.0,6.75,2,3,8,6,5,5,5,6,5,5,7,6,37A,37E,37A,37A
37C,19,2,2,37,8.75,6.25,7.5,6,6,37E,7.5,6.25,6.5,2,1,8,7,5,7,7,8,6,5,6,7,37A,37E,37A,37A
37C,19,2,2,37,8.75,6.25,7.5,6,6,37B,5.0,5.0,5.0,1,6,5,5,5,0,0,5,5,5,6,6,37A,37E,37A,37A
37E,19,2,2,37,10.0,7.75,9.75,6,10,37A,10.0,9.5,10.0,2,3,9,6,6,6,3,9,6,6,9,10,37A,37C,37D,37A
37E,19,2,2,37,10.0,7.75,9.75,6,10,37C,10.0,10.0,9.75,2,1,8,9,2,9,9,9,9,2,8,10,37A,37C,37D,37A
37E,19,2,2,37,10.0,7.75,9.75,6,10,37B,10.0,8.75,10.0,1,6,6,0,5,0,0,6,0,5,9,10,37A,37C,37D,37A
37E,19,2,2,37,10.0,7.75,9.75,6,10,37D,10.0,10.0,10.0,2,3,8,5,5,0,0,5,5,5,10,10,37A,37C,37D,37A
